campaignID;date;lettersSent;CostUnit
153;13/12/2004;6 873;0,17 €
154;01/01/2005;7 656;0,30 €
180;18/01/2005;9 933;0,20 €
433;29/01/2005;7 448;0,59 €
476;12/02/2005;6 605;0,51 €
498;22/02/2005;5 441;0,20 €
536;12/03/2005;8 417;0,30 €
574;29/03/2005;8 986;0,40 €
584;17/04/2005;8 246;0,29 €
606;02/05/2005;8 120;0,37 €
627;15/05/2005;5 193;0,48 €
663;26/05/2005;5 244;0,31 €
669;09/06/2005;18 230;0,52 €
711;28/06/2005;17 976;0,02 €
723;09/07/2005;22 810;0,00 €
767;20/07/2005;24 950;0,14 €
768;08/08/2005;30 031;0,25 €
796;18/08/2005;15 716;0,41 €
804;03/09/2005;21 712;0,10 €
816;18/09/2005;28 764;0,32 €
850;07/10/2005;38 052;0,23 €
858;21/10/2005;31 961;0,31 €
899;09/11/2005;20 290;0,14 €
901;25/11/2005;38 859;0,22 €
930;13/12/2005;39 783;0,08 €
954;29/12/2005;36 151;0,51 €
968;16/01/2006;7 682;0,19 €
979;31/01/2006;37 626;0,17 €
980;14/02/2006;36 616;0,02 €
1000;24/02/2006;33 015;0,32 €
1026;13/03/2006;38 380;0,20 €
1028;29/03/2006;38 431;0,06 €
1034;17/04/2006;34 657;0,06 €
1058;06/05/2006;32 260;0,45 €
1074;20/05/2006;39 037;0,51 €
1101;08/06/2006;30 593;0,28 €
1148;20/06/2006;35 119;0,41 €
1149;30/06/2006;32 113;0,04 €
1153;18/07/2006;9 496;0,30 €
1181;06/08/2006;38 342;0,10 €
1185;21/08/2006;34 620;0,30 €
1207;31/08/2006;34 719;0,41 €
1212;19/09/2006;36 619;0,50 €
1218;04/10/2006;39 806;0,30 €
1235;23/10/2006;24 934;0,10 €
1245;02/11/2006;37 662;0,20 €
1248;18/11/2006;35 984;0,30 €
1280;06/12/2006;34 003;0,19 €
1316;17/12/2006;38 326;0,50 €
1317;05/01/2007;36 898;0,12 €
1331;19/01/2007;9 196;0,04 €
1338;07/02/2007;31 051;0,34 €
1343;26/02/2007;25 207;0,21 €
1374;17/03/2007;23 399;0,50 €
1377;02/04/2007;38 426;0,31 €
1397;21/04/2007;28 098;0,30 €
1400;07/05/2007;36 693;0,33 €
1424;17/05/2007;27 178;0,50 €
